a	b	c	d	e	f
0.1434	0.6360	0.3068	0.2098	0.2497	0.3610
0.4755	0.9323	0.6703	0.3109	0.8622	0.0007
0.7065	0.0967	0.6870	0.4053	0.2323	0.7900
0.5123	0.7487	0.0561	0.3567	0.6127	0.4924
0.9723	0.7364	0.0634	0.5245	0.2006	0.7337
0.2350	0.3599	0.0445	0.6852	0.8909	0.5669
0.8644	0.1472	0.3514	0.6958	0.4125	0.2469
0.6461	0.9499	0.3432	0.5181	0.3706	0.5807
0.2482	0.9173	0.1724	0.9171	0.9138	0.7332
0.7216	0.5915	0.0206	0.4611	0.4116	0.8272
0.1360	0.6338	0.3389	0.1830	0.3780	0.5698
0.7320	0.3683	0.3800	0.0185	0.5402	0.2469
0.3580	0.5139	0.4207	0.9385	0.9139	0.6793
0.6287	0.6317	0.2916	0.8051	0.0497	0.8691
0.8002	0.3025	0.7196	0.3199	0.0063	0.4639
0.0441	0.4668	0.6652	0.6658	0.6141	0.9081
0.5788	0.3489	0.0617	0.6949	0.1300	0.9322
0.0291	0.0095	0.9414	0.1441	0.7279	0.6748
0.3214	0.0041	0.1257	0.2121	0.1005	0.0267
0.8588	0.0945	0.4178	0.8367	0.0747	0.2602
0.5938	0.7374	0.5538	0.0364	0.6262	0.3290
0.3464	0.2027	0.0820	0.7641	0.4421	0.7032
0.3361	0.9154	0.5210	0.3519	0.6446	0.6155
0.9275	0.0100	0.4510	0.2574	0.6749	0.0308
0.4382	0.7088	0.4898	0.0379	0.0584	0.5041
0.8210	0.2522	0.8595	0.2236	0.9767	0.8978
0.6675	0.4302	0.4528	0.6689	0.2539	0.3876
0.3441	0.6421	0.2182	0.3903	0.9762	0.3617
0.5112	0.0477	0.4911	0.4794	0.9412	0.4323
0.6994	0.2911	0.5978	0.0556	0.6747	0.6951
0.9410	0.1019	0.0947	0.5293	0.1903	0.9493
0.4861	0.3646	0.0602	0.4421	0.2483	0.7070
0.0936	0.6493	0.5259	0.1544	0.1856	0.4399
0.7676	0.4685	0.0561	0.4020	0.7223	0.2532
0.6612	0.7048	0.9311	0.1041	0.9254	0.0038
0.7042	0.7450	0.8828	0.4802	0.5332	0.9520
0.8282	0.4160	0.7630	0.5463	0.4668	0.1791
0.7018	0.6021	0.2032	0.2430	0.7136	0.3640
0.6117	0.5150	0.9484	0.4142	0.0689	0.1853
0.4019	0.9983	0.3967	0.9547	0.8476	0.3733
0.8629	0.5051	0.6956	0.7165	0.8005	0.6576
0.0370	0.8402	0.5582	0.7428	0.5421	0.3523
0.1671	0.2878	0.6795	0.3329	0.5283	0.4111
0.0812	0.2480	0.6894	0.0833	0.1341	0.0708
0.8117	0.1580	0.8598	0.1497	0.2409	0.3525
0.3478	0.6529	0.0101	0.9384	0.9111	0.6912
0.5458	0.1281	0.3961	0.9016	0.0416	0.0638
0.8335	0.1557	0.2415	0.0557	0.6772	0.6038
0.3674	0.6087	0.0323	0.7935	0.8687	0.7193
0.4969	0.6058	0.1125	0.5454	0.9718	0.0919
0.1947	0.5133	0.1656	0.4783	0.7075	0.1503
0.6272	0.0401	0.5709	0.8593	0.2780	0.7591
0.2929	0.6792	0.3207	0.6176	0.2108	0.0352
0.5409	0.5994	0.1511	0.0460	0.7824	0.4408
0.3773	0.1359	0.3740	0.4958	0.8518	0.2536
0.5832	0.7509	0.4715	0.7166	0.5218	0.6695
0.6366	0.6249	0.0548	0.6964	0.9276	0.4823
0.0809	0.5752	0.8025	0.4605	0.4335	0.1717
0.6333	0.9842	0.6749	0.9613	0.4911	0.6104
0.2415	0.3103	0.3221	0.6575	0.9890	0.8870
0.3444	0.5889	0.8568	0.0965	0.0115	0.6929
0.5146	0.1068	0.9421	0.2827	0.8101	0.4631
0.0975	0.1728	0.1482	0.2743	0.8025	0.0093
0.5975	0.6688	0.1589	0.6234	0.2392	0.4877
0.9982	0.6669	0.6981	0.7154	0.8732	0.6338
0.7862	0.8039	0.1161	0.9812	0.0481	0.0539
0.7007	0.4761	0.7480	0.4795	0.3715	0.4075
0.4361	0.8559	0.1543	0.7235	0.8482	0.8623
0.1782	0.0704	0.1591	0.6815	0.5404	0.7098
0.8345	0.0563	0.3703	0.2373	0.8038	0.4608
0.0303	0.2963	0.8790	0.7057	0.5742	0.2113
0.2053	0.3263	0.7991	0.8232	0.6988	0.5070
0.9357	0.2035	0.4750	0.9811	0.7587	0.3083
0.0154	0.3445	0.5236	0.6982	0.4860	0.9689
0.1017	0.9264	0.1757	0.2691	0.2496	0.0591
0.3583	0.4247	0.4702	0.5547	0.1104	0.8896
0.0727	0.6423	0.2957	0.6273	0.0739	0.6998
0.3214	0.1328	0.5883	0.4804	0.5916	0.9485
0.4849	0.4374	0.2562	0.7403	0.8413	0.6778
0.7438	0.6019	0.1624	0.0888	0.2538	0.3199
0.3494	0.0221	0.3958	0.9279	0.9774	0.2360
0.2282	0.2427	0.8725	0.9545	0.2574	0.8235
0.1417	0.3318	0.3917	0.1909	0.4250	0.9673
0.2471	0.3201	0.9791	0.6041	0.6174	0.6965
0.3875	0.6993	0.8484	0.2482	0.9211	0.1679
0.4859	0.5850	0.3506	0.4855	0.0717	0.3866
0.9558	0.2642	0.6723	0.8411	0.4956	0.8846
0.4770	0.4874	0.5157	0.3243	0.0885	0.0454
0.9019	0.7564	0.4239	0.0931	0.4499	0.1232
0.1182	0.1974	0.1606	0.7864	0.0939	0.1178
0.2935	0.6288	0.3534	0.4360	0.0678	0.9720
0.8504	0.7509	0.5231	0.2818	0.4758	0.8966
0.9740	0.4688	0.1931	0.3599	0.8621	0.3462
0.3134	0.7015	0.5741	0.3746	0.9013	0.7187
0.9914	0.6602	0.6453	0.8730	0.5356	0.4789
0.9568	0.0683	0.2097	0.5865	0.0286	0.7756
0.3844	0.7427	0.4933	0.2288	0.6870	0.2125
0.7794	0.5513	0.4934	0.2890	0.3258	0.2240
0.9615	0.8815	0.2494	0.8911	0.8532	0.9846
0.5816	0.6560	0.2380	0.9527	0.7113	0.4052
